Territorio;Año;Mes;Año_mes;Precio medio;Nombre del Producto;Indicador
Canarias;2020;septiembre;2020-09;1.92;Piñas tropicales;Precio medio en origen
Canarias;2020;septiembre;2020-09;1.54;Plátanos;Precio medio en destino
Canarias;2020;septiembre;2020-09;1.03;Plátanos;Precio medio en merca
Canarias;2020;septiembre;2020-09;0.82;Plátanos;Precio medio en origen
Canarias;2020;septiembre;2020-09;2.09;Puerros;Precio medio en destino
Canarias;2020;septiembre;2020-09;0.76;Puerros;Precio medio en merca
Canarias;2020;septiembre;2020-09;0.68;Puerros;Precio medio en origen
Canarias;2020;septiembre;2020-09;1.40;Sandías;Precio medio en destino
Canarias;2020;septiembre;2020-09;1.20;Sandías;Precio medio en merca
Canarias;2020;septiembre;2020-09;0.24;Sandías;Precio medio en origen
Canarias;2020;septiembre;2020-09;1.87;Tomates;Precio medio en destino
Canarias;2020;septiembre;2020-09;1.31;Tomates;Precio medio en merca
Canarias;2020;septiembre;2020-09;0.91;Tomates;Precio medio en origen
Canarias;2020;septiembre;2020-09;2.62;Zanahorias;Precio medio en destino
Canarias;2020;septiembre;2020-09;1.52;Zanahorias;Precio medio en merca
Canarias;2020;septiembre;2020-09;1.17;Zanahorias;Precio medio en origen
Canarias;2020;octubre;2020-10;5.48;Aguacates;Precio medio en destino
Canarias;2020;octubre;2020-10;4.87;Aguacates;Precio medio en merca
Canarias;2020;octubre;2020-10;2.99;Aguacates;Precio medio en origen
Canarias;2020;octubre;2020-10;2.40;Batatas y boniatos;Precio medio en destino
Canarias;2020;octubre;2020-10;1.41;Batatas y boniatos;Precio medio en merca
Canarias;2020;octubre;2020-10;0.90;Batatas y boniatos;Precio medio en origen
Canarias;2020;octubre;2020-10;2.21;Berenjenas;Precio medio en destino
Canarias;2020;octubre;2020-10;1.56;Berenjenas;Precio medio en merca
Canarias;2020;octubre;2020-10;0.75;Berenjenas;Precio medio en origen
Canarias;2020;octubre;2020-10;3.85;Berros;Precio medio en destino
Canarias;2020;octubre;2020-10;1.55;Berros;Precio medio en merca
Canarias;2020;octubre;2020-10;0.69;Berros;Precio medio en origen
Canarias;2020;octubre;2020-10;4.04;Brócoli;Precio medio en destino
Canarias;2020;octubre;2020-10;3.04;Brócoli;Precio medio en merca
Canarias;2020;octubre;2020-10;2.11;Brócoli;Precio medio en origen
Canarias;2020;octubre;2020-10;2.48;Bubangos;Precio medio en destino
Canarias;2020;octubre;2020-10;1.64;Bubangos;Precio medio en merca
Canarias;2020;octubre;2020-10;0.96;Bubangos;Precio medio en origen
Canarias;2020;octubre;2020-10;2.54;Calabacines;Precio medio en destino
Canarias;2020;octubre;2020-10;1.14;Calabacines;Precio medio en merca
Canarias;2020;octubre;2020-10;1.00;Calabacines;Precio medio en origen
Canarias;2020;octubre;2020-10;1.41;Calabazas;Precio medio en destino
Canarias;2020;octubre;2020-10;0.51;Calabazas;Precio medio en merca
Canarias;2020;octubre;2020-10;0.37;Calabazas;Precio medio en origen
Canarias;2020;octubre;2020-10;1.46;Cebollas;Precio medio en destino
Canarias;2020;octubre;2020-10;1.05;Cebollas;Precio medio en merca
Canarias;2020;octubre;2020-10;0.46;Cebollas;Precio medio en origen
Canarias;2020;octubre;2020-10;1.68;Cebolletas;Precio medio en origen
Canarias;2020;octubre;2020-10;1.90;Coles;Precio medio en destino
Canarias;2020;octubre;2020-10;1.23;Coles;Precio medio en merca
Canarias;2020;octubre;2020-10;0.70;Coles;Precio medio en origen
Canarias;2020;octubre;2020-10;2.96;Coliflores;Precio medio en destino
Canarias;2020;octubre;2020-10;2.32;Coliflores;Precio medio en merca
Canarias;2020;octubre;2020-10;1.18;Coliflores;Precio medio en origen
Canarias;2020;octubre;2020-10;10.32;Fresas;Precio medio en destino
Canarias;2020;octubre;2020-10;10.48;Fresas;Precio medio en merca
Canarias;2020;octubre;2020-10;4.07;Fresas;Precio medio en origen
Canarias;2020;octubre;2020-10;5.18;Judías verdes;Precio medio en destino
Canarias;2020;octubre;2020-10;1.63;Judías verdes;Precio medio en merca
Canarias;2020;octubre;2020-10;2.04;Judías verdes;Precio medio en origen
Canarias;2020;octubre;2020-10;2.68;Lechugas;Precio medio en destino
Canarias;2020;octubre;2020-10;1.19;Lechugas;Precio medio en merca
Canarias;2020;octubre;2020-10;0.63;Lechugas;Precio medio en origen
Canarias;2020;octubre;2020-10;1.84;Limones;Precio medio en destino
Canarias;2020;octubre;2020-10;1.00;Limones;Precio medio en merca
Canarias;2020;octubre;2020-10;0.67;Limones;Precio medio en origen
Canarias;2020;octubre;2020-10;2.48;Mandarinas;Precio medio en destino
Canarias;2020;octubre;2020-10;1.63;Mandarinas;Precio medio en merca
Canarias;2020;octubre;2020-10;4.06;Mangos;Precio medio en destino
Canarias;2020;octubre;2020-10;2.51;Mangos;Precio medio en merca
Canarias;2020;octubre;2020-10;2.13;Mangos;Precio medio en origen
Canarias;2020;octubre;2020-10;2.13;Melones;Precio medio en destino
Canarias;2020;octubre;2020-10;1.08;Melones;Precio medio en merca
Canarias;2020;octubre;2020-10;0.20;Melones;Precio medio en origen
Canarias;2020;octubre;2020-10;1.93;Naranjas;Precio medio en destino
Canarias;2020;octubre;2020-10;1.33;Naranjas;Precio medio en merca
Canarias;2020;octubre;2020-10;0.71;Naranjas;Precio medio en origen
Canarias;2020;octubre;2020-10;1.72;Papas;Precio medio en destino
Canarias;2020;octubre;2020-10;1.42;Papas;Precio medio en merca
Canarias;2020;octubre;2020-10;0.70;Papas;Precio medio en origen
Canarias;2020;octubre;2020-10;2.54;Papayas;Precio medio en destino
Canarias;2020;octubre;2020-10;1.76;Papayas;Precio medio en merca
Canarias;2020;octubre;2020-10;1.11;Papayas;Precio medio en origen
Canarias;2020;octubre;2020-10;1.81;Pepinos;Precio medio en destino
Canarias;2020;octubre;2020-10;0.74;Pepinos;Precio medio en merca
Canarias;2020;octubre;2020-10;0.68;Pepinos;Precio medio en origen
Canarias;2020;octubre;2020-10;1.90;Pimientos (Capsicum);Precio medio en destino
Canarias;2020;octubre;2020-10;1.19;Pimientos (Capsicum);Precio medio en merca
Canarias;2020;octubre;2020-10;0.66;Pimientos (Capsicum);Precio medio en origen
Canarias;2020;octubre;2020-10;3.61;Pinas de millo;Precio medio en destino
Canarias;2020;octubre;2020-10;2.21;Pinas de millo;Precio medio en merca
Canarias;2020;octubre;2020-10;0.48;Pinas de millo;Precio medio en origen
Canarias;2020;octubre;2020-10;4.10;Piñas tropicales;Precio medio en destino
Canarias;2020;octubre;2020-10;3.85;Piñas tropicales;Precio medio en merca
Canarias;2020;octubre;2020-10;2.00;Piñas tropicales;Precio medio en origen
Canarias;2020;octubre;2020-10;1.67;Plátanos;Precio medio en destino
Canarias;2020;octubre;2020-10;1.22;Plátanos;Precio medio en merca
Canarias;2020;octubre;2020-10;1.02;Plátanos;Precio medio en origen
Canarias;2020;octubre;2020-10;2.19;Puerros;Precio medio en destino
Canarias;2020;octubre;2020-10;1.20;Puerros;Precio medio en merca
Canarias;2020;octubre;2020-10;0.79;Puerros;Precio medio en origen
Canarias;2020;octubre;2020-10;1.59;Sandías;Precio medio en destino
Canarias;2020;octubre;2020-10;0.90;Sandías;Precio medio en merca
Canarias;2020;octubre;2020-10;0.38;Sandías;Precio medio en origen
Canarias;2020;octubre;2020-10;1.98;Tomates;Precio medio en destino
Canarias;2020;octubre;2020-10;1.30;Tomates;Precio medio en merca
Canarias;2020;octubre;2020-10;0.50;Tomates;Precio medio en origen
Canarias;2020;octubre;2020-10;2.44;Zanahorias;Precio medio en destino
Canarias;2020;octubre;2020-10;1.71;Zanahorias;Precio medio en merca
